Source IP,Attack Type,Attack Severity,Data Exfiltrated,Response Action
8.197.42.206,Ransomware,Low,FALSE,Blocked
83.71.176.128,Phishing,High,TRUE,Contained
194.53.164.219,Phishing,Critical,FALSE,Blocked
150.237.20.252,Ransomware,Low,FALSE,Contained
150.199.96.23,Insider Threat,Medium,TRUE,Blocked
126.41.87.12,Phishing,Medium,FALSE,Recovered
212.205.163.177,DDoS,Medium,FALSE,Contained
80.133.101.25,Ransomware,High,FALSE,Blocked
145.141.41.35,Malware,Low,TRUE,Recovered
32.149.75.108,Malware,High,FALSE,Contained
76.81.28.211,DDoS,High,FALSE,Blocked
59.97.220.193,Insider Threat,Low,FALSE,Contained
191.192.23.155,Ransomware,High,FALSE,Contained
204.62.22.145,Ransomware,Low,FALSE,Recovered
163.175.82.220,Malware,High,FALSE,Recovered
114.11.89.62,DDoS,Critical,TRUE,Blocked
11.249.200.167,DDoS,Low,FALSE,Eradicated
44.208.233.108,Insider Threat,Low,FALSE,Blocked
217.251.118.231,Phishing,High,TRUE,Eradicated
149.123.194.248,Phishing,Low,FALSE,Eradicated
80.152.152.223,Malware,High,FALSE,Eradicated
201.185.91.192,Malware,Critical,FALSE,Eradicated
145.44.140.132,Phishing,Critical,FALSE,Contained
66.73.162.3,DDoS,High,FALSE,Blocked
17.96.177.161,Insider Threat,High,TRUE,Eradicated
154.193.129.11,Insider Threat,High,FALSE,Eradicated
118.66.125.69,Phishing,Critical,FALSE,Blocked
32.125.73.184,Ransomware,Low,FALSE,Contained
113.8.61.125,Malware,Critical,FALSE,Eradicated
115.131.129.132,Malware,Low,FALSE,Contained
22.204.101.195,Insider Threat,High,FALSE,Contained
154.26.240.231,Malware,Critical,FALSE,Eradicated
139.77.62.187,Phishing,Medium,FALSE,Contained
205.41.87.2,Malware,Critical,FALSE,Eradicated
43.87.155.149,Malware,Critical,FALSE,Contained
154.70.51.7,DDoS,High,FALSE,Eradicated
140.249.26.157,Phishing,High,FALSE,Recovered
64.143.165.34,Phishing,High,FALSE,Contained
1.157.214.181,Insider Threat,Low,FALSE,Contained
210.68.141.96,Phishing,High,FALSE,Contained
52.167.178.43,Malware,High,FALSE,Contained
167.202.143.53,Ransomware,Critical,FALSE,Eradicated
207.194.111.204,Phishing,Critical,FALSE,Blocked
11.223.75.2,Ransomware,Medium,FALSE,Recovered
75.217.201.93,DDoS,Critical,FALSE,Blocked
114.163.198.230,Malware,Medium,FALSE,Recovered
124.237.89.164,Phishing,High,FALSE,Eradicated
171.14.54.161,Phishing,High,FALSE,Contained
114.109.67.95,Malware,High,FALSE,Contained
31.49.143.13,Malware,Medium,FALSE,Blocked
35.60.175.238,Ransomware,Low,FALSE,Contained
33.21.0.101,Insider Threat,Medium,FALSE,Recovered
16.205.30.156,Malware,Medium,FALSE,Eradicated
29.96.102.55,Malware,Medium,FALSE,Blocked
55.23.146.108,Malware,Critical,FALSE,Contained
35.20.209.179,Ransomware,High,TRUE,Blocked
212.58.233.157,Malware,High,TRUE,Eradicated
69.56.227.17,Malware,Low,FALSE,Contained
1.213.35.209,Ransomware,Medium,FALSE,Contained
165.95.204.65,Malware,Low,FALSE,Eradicated
42.174.13.7,Malware,Low,FALSE,Recovered
41.75.35.206,Ransomware,Low,FALSE,Eradicated
139.42.93.254,Malware,High,FALSE,Contained
123.244.97.180,Malware,Low,TRUE,Contained
205.68.7.230,Malware,Critical,FALSE,Recovered
51.169.142.64,DDoS,Low,FALSE,Recovered
57.175.13.84,Ransomware,Medium,FALSE,Contained
37.218.193.240,Ransomware,Critical,FALSE,Eradicated
190.12.72.126,Malware,Critical,FALSE,Contained
146.221.23.77,Malware,Medium,FALSE,Eradicated
150.206.23.100,Insider Threat,Low,FALSE,Eradicated
25.192.163.211,Phishing,Medium,FALSE,Recovered
23.70.179.221,Phishing,Medium,FALSE,Eradicated
52.56.70.66,Ransomware,Critical,FALSE,Contained
125.89.50.60,Ransomware,Low,FALSE,Eradicated
197.165.176.248,DDoS,Critical,FALSE,Recovered
21.94.187.166,Insider Threat,Critical,TRUE,Blocked
169.220.53.252,Malware,Low,FALSE,Eradicated
192.113.142.10,Insider Threat,Low,FALSE,Contained
131.184.143.85,Malware,Critical,FALSE,Contained
96.17.191.122,Ransomware,High,FALSE,Eradicated
186.185.210.135,Phishing,High,FALSE,Recovered
81.158.48.169,Insider Threat,Critical,FALSE,Blocked
37.216.0.231,Ransomware,Critical,FALSE,Contained
168.149.178.190,Malware,Critical,FALSE,Eradicated
199.8.205.124,DDoS,Low,TRUE,Blocked
42.26.113.48,Phishing,Medium,FALSE,Recovered
215.46.184.100,Malware,Low,FALSE,Recovered
81.127.127.55,Phishing,Critical,FALSE,Blocked
32.140.252.166,Phishing,Medium,TRUE,Contained
17.163.41.233,Ransomware,Critical,FALSE,Blocked
138.181.167.35,DDoS,Low,FALSE,Eradicated
57.81.159.127,DDoS,Low,FALSE,Eradicated
144.52.217.189,Insider Threat,Low,FALSE,Blocked
120.127.186.98,Insider Threat,Medium,FALSE,Blocked
71.101.223.35,Phishing,Low,FALSE,Recovered
86.149.90.12,Insider Threat,Low,FALSE,Eradicated
163.192.47.54,Malware,Medium,FALSE,Recovered
166.144.21.211,Ransomware,Medium,FALSE,Contained
119.157.77.166,Malware,Low,FALSE,Blocked
216.75.98.100,Insider Threat,Medium,FALSE,Eradicated
77.178.174.232,Malware,Critical,FALSE,Eradicated
100.179.185.35,Insider Threat,High,FALSE,Eradicated
218.67.99.35,DDoS,Medium,FALSE,Recovered
90.186.50.0,DDoS,Medium,FALSE,Eradicated
96.230.112.134,Malware,Medium,FALSE,Contained
69.42.22.243,Malware,Critical,FALSE,Recovered
206.117.236.179,Insider Threat,Medium,FALSE,Recovered
139.156.8.204,Phishing,Critical,FALSE,Blocked
90.204.19.158,Ransomware,Critical,FALSE,Contained
5.164.127.179,Insider Threat,High,FALSE,Contained
75.169.215.193,DDoS,Medium,FALSE,Blocked
109.250.173.156,Phishing,Critical,FALSE,Contained
216.3.164.38,Insider Threat,High,FALSE,Eradicated
173.5.133.147,DDoS,Critical,FALSE,Recovered
24.230.37.215,Phishing,High,FALSE,Contained
140.201.221.7,Malware,Medium,FALSE,Eradicated
69.226.232.140,Malware,Low,FALSE,Contained
157.19.204.239,DDoS,High,FALSE,Contained
189.62.134.7,Phishing,Critical,FALSE,Recovered
66.193.28.140,DDoS,High,FALSE,Eradicated
28.61.224.141,Phishing,Critical,FALSE,Recovered
101.45.252.10,Insider Threat,Critical,FALSE,Recovered
42.181.16.154,DDoS,Critical,FALSE,Blocked
21.78.132.117,Ransomware,High,FALSE,Recovered
208.24.38.141,DDoS,Medium,FALSE,Blocked
30.165.206.33,Ransomware,High,FALSE,Eradicated
36.28.178.156,Ransomware,Medium,FALSE,Contained
104.113.31.170,Insider Threat,Medium,FALSE,Blocked
3.95.125.87,Insider Threat,High,FALSE,Blocked
92.172.209.156,Insider Threat,High,FALSE,Contained
175.223.169.207,DDoS,High,FALSE,Blocked
22.114.128.241,Ransomware,High,FALSE,Contained
22.49.72.6,Malware,Medium,FALSE,Contained
179.133.67.172,DDoS,Low,FALSE,Eradicated
132.60.180.126,Insider Threat,Critical,FALSE,Contained
90.75.199.39,Phishing,Low,FALSE,Blocked
187.209.24.225,Phishing,Medium,FALSE,Contained
87.7.217.156,Insider Threat,Medium,FALSE,Eradicated
21.79.115.127,Phishing,Critical,FALSE,Eradicated
37.89.92.176,Malware,Critical,FALSE,Blocked
162.11.74.129,Malware,Medium,FALSE,Eradicated
101.51.29.58,DDoS,Medium,FALSE,Recovered
33.47.172.153,Ransomware,High,FALSE,Blocked
147.41.31.181,Insider Threat,Critical,FALSE,Recovered
28.178.185.157,Malware,Medium,FALSE,Eradicated
106.144.119.149,Insider Threat,Low,FALSE,Eradicated
174.214.93.253,DDoS,Low,FALSE,Blocked
1.107.42.56,Phishing,High,FALSE,Blocked
158.89.147.69,DDoS,Critical,FALSE,Contained
196.150.236.244,Ransomware,Medium,FALSE,Recovered
150.18.213.246,DDoS,Critical,FALSE,Eradicated
222.122.58.149,DDoS,High,FALSE,Recovered
213.144.201.136,Phishing,High,FALSE,Recovered
68.160.159.38,DDoS,Low,FALSE,Blocked
9.145.129.229,Malware,High,FALSE,Recovered
99.192.44.131,Ransomware,Medium,FALSE,Recovered
68.246.172.87,Ransomware,Critical,FALSE,Blocked
25.230.25.81,Phishing,Low,FALSE,Contained
49.55.44.240,DDoS,High,FALSE,Eradicated
20.196.136.226,DDoS,Medium,FALSE,Eradicated
58.195.174.43,Malware,Medium,FALSE,Blocked
95.97.27.36,Malware,Low,FALSE,Contained
185.226.131.24,Phishing,Medium,FALSE,Eradicated
104.109.142.127,Insider Threat,High,FALSE,Recovered
222.136.171.157,Insider Threat,High,FALSE,Eradicated
223.214.115.216,Insider Threat,Medium,TRUE,Blocked
142.27.72.69,DDoS,Medium,FALSE,Recovered
62.201.94.194,DDoS,Critical,FALSE,Recovered
108.5.191.198,Insider Threat,Critical,FALSE,Contained
32.94.70.30,Insider Threat,Critical,FALSE,Eradicated
73.161.119.226,DDoS,High,FALSE,Eradicated
80.186.67.24,DDoS,Low,FALSE,Blocked
141.219.153.54,Malware,High,FALSE,Recovered
138.134.180.28,Insider Threat,High,FALSE,Blocked
193.13.41.41,Insider Threat,High,FALSE,Contained
50.87.230.191,Ransomware,Low,FALSE,Contained
154.236.57.36,Malware,Medium,FALSE,Recovered
148.115.106.105,DDoS,High,FALSE,Eradicated
22.99.95.91,Ransomware,Low,FALSE,Recovered
94.189.24.180,Malware,High,FALSE,Recovered
9.106.22.242,DDoS,Medium,FALSE,Blocked
115.56.174.223,Phishing,Low,FALSE,Eradicated
130.32.105.194,Malware,Low,FALSE,Eradicated
94.128.134.146,Insider Threat,Critical,FALSE,Recovered
94.87.237.188,DDoS,Medium,FALSE,Blocked
59.15.33.122,Ransomware,Medium,FALSE,Eradicated
133.153.91.45,Ransomware,Critical,FALSE,Blocked
184.44.16.39,DDoS,Low,FALSE,Eradicated
86.44.148.250,Ransomware,Critical,FALSE,Eradicated
156.55.134.208,Insider Threat,Critical,TRUE,Recovered
146.208.131.65,Phishing,Low,FALSE,Contained
45.36.252.147,Phishing,Critical,FALSE,Eradicated
21.250.60.247,DDoS,High,TRUE,Contained
99.31.17.183,DDoS,Medium,TRUE,Blocked
49.120.15.34,DDoS,Low,FALSE,Eradicated
67.159.243.143,Ransomware,Low,FALSE,Eradicated
62.230.118.100,DDoS,Medium,TRUE,Eradicated
8.91.0.135,Malware,Critical,FALSE,Blocked
83.115.43.81,Malware,Medium,FALSE,Blocked
25.199.154.64,Ransomware,High,FALSE,Recovered
32.121.200.124,Ransomware,Low,TRUE,Eradicated
150.181.209.212,DDoS,Low,FALSE,Recovered
54.199.228.151,Malware,Critical,FALSE,Blocked
169.172.190.144,Malware,High,FALSE,Blocked
199.221.152.141,Phishing,High,FALSE,Contained
130.254.251.202,Malware,High,FALSE,Eradicated
152.154.106.230,Insider Threat,Medium,FALSE,Recovered
64.88.172.99,Phishing,Low,FALSE,Recovered
205.188.102.171,Ransomware,Critical,FALSE,Blocked
77.93.219.25,Ransomware,High,FALSE,Blocked
136.253.72.190,Insider Threat,Medium,FALSE,Blocked
187.136.59.177,Phishing,High,FALSE,Eradicated
105.24.210.134,Phishing,Critical,FALSE,Eradicated
218.183.22.115,DDoS,Low,FALSE,Contained
156.218.120.19,Insider Threat,High,FALSE,Eradicated
154.14.14.243,Insider Threat,Medium,FALSE,Blocked
189.52.79.42,Phishing,Critical,FALSE,Eradicated
71.99.246.174,Insider Threat,High,FALSE,Blocked
179.254.38.218,DDoS,Medium,FALSE,Eradicated
219.138.67.190,Phishing,Critical,FALSE,Eradicated
121.126.59.208,DDoS,Critical,FALSE,Blocked
60.57.37.214,Ransomware,Medium,FALSE,Blocked
45.176.182.172,Ransomware,Critical,FALSE,Eradicated
208.231.240.233,Ransomware,High,FALSE,Eradicated
54.217.252.66,Malware,Medium,FALSE,Recovered
40.43.99.128,DDoS,Critical,FALSE,Blocked
131.191.187.55,Phishing,High,FALSE,Contained
101.45.125.250,Insider Threat,Low,FALSE,Recovered
185.228.27.162,DDoS,Critical,FALSE,Blocked
30.243.211.123,Phishing,Critical,FALSE,Contained
137.187.50.31,Ransomware,Low,FALSE,Blocked
19.116.86.94,DDoS,Critical,FALSE,Contained
157.11.165.19,Insider Threat,High,FALSE,Blocked
105.27.2.250,Ransomware,High,FALSE,Blocked
89.169.229.97,Phishing,Medium,FALSE,Blocked
205.71.183.60,Malware,Low,FALSE,Eradicated
62.208.199.215,Phishing,High,FALSE,Recovered
95.227.114.112,Ransomware,High,FALSE,Eradicated
176.33.200.232,Ransomware,Low,FALSE,Eradicated
82.151.89.35,Malware,Critical,FALSE,Eradicated
137.40.28.242,DDoS,Critical,FALSE,Eradicated
113.52.39.189,Malware,High,FALSE,Blocked
36.162.139.45,Insider Threat,Critical,FALSE,Contained
27.10.112.114,Malware,Medium,FALSE,Blocked
88.123.81.59,Phishing,Low,FALSE,Eradicated
85.241.202.166,DDoS,Low,FALSE,Recovered
65.54.141.181,Malware,High,FALSE,Contained
214.244.28.101,Insider Threat,Low,TRUE,Recovered
189.50.38.104,Ransomware,Critical,FALSE,Recovered
82.9.173.32,Malware,High,FALSE,Contained
102.78.55.242,Malware,High,FALSE,Contained
117.200.243.44,Malware,Critical,FALSE,Recovered
35.37.139.6,DDoS,Low,FALSE,Eradicated
116.223.5.150,Ransomware,Critical,FALSE,Recovered
162.168.215.170,Malware,High,TRUE,Blocked
4.41.53.15,Insider Threat,Medium,FALSE,Recovered
204.11.96.136,Ransomware,Critical,FALSE,Blocked
29.20.184.31,Phishing,Low,FALSE,Eradicated
79.144.146.108,Phishing,High,TRUE,Contained
139.166.230.247,Ransomware,Critical,FALSE,Contained
110.122.204.182,Phishing,Medium,FALSE,Recovered
148.77.47.144,Phishing,Critical,FALSE,Contained
163.233.46.109,Insider Threat,Medium,FALSE,Recovered
167.156.131.16,Phishing,Medium,FALSE,Blocked
223.235.215.195,Insider Threat,Critical,FALSE,Recovered
131.215.31.6,DDoS,Critical,FALSE,Blocked
42.48.187.195,DDoS,Medium,FALSE,Blocked
145.111.172.92,Ransomware,Medium,FALSE,Blocked
79.15.224.10,Ransomware,Low,FALSE,Blocked
137.216.90.97,Insider Threat,Medium,FALSE,Eradicated
23.30.220.251,Ransomware,Low,FALSE,Blocked
164.133.61.249,Malware,Low,TRUE,Recovered
108.242.253.88,Insider Threat,Critical,FALSE,Contained
63.146.65.77,Insider Threat,High,FALSE,Blocked
85.217.148.171,DDoS,Low,FALSE,Blocked
216.76.255.126,DDoS,High,TRUE,Blocked
126.1.26.138,Ransomware,Low,FALSE,Recovered
58.252.171.169,Malware,Critical,TRUE,Recovered
43.201.193.89,DDoS,Medium,FALSE,Eradicated
216.194.210.207,Phishing,Low,FALSE,Contained
40.1.138.80,Phishing,Critical,TRUE,Contained
149.88.177.231,DDoS,Critical,FALSE,Blocked
136.39.69.31,Malware,High,FALSE,Contained
26.199.7.156,DDoS,Critical,FALSE,Contained
97.169.125.87,Insider Threat,Low,FALSE,Recovered
205.126.183.188,Phishing,Medium,FALSE,Blocked
133.146.152.247,Phishing,Medium,FALSE,Recovered
219.157.51.184,Malware,High,TRUE,Contained
207.237.88.135,Malware,Critical,FALSE,Recovered
218.40.110.129,Insider Threat,Low,FALSE,Contained
210.172.1.220,Phishing,Critical,FALSE,Eradicated
51.216.230.217,Malware,Medium,FALSE,Recovered
22.120.54.156,DDoS,Low,FALSE,Eradicated
184.130.39.68,Phishing,Medium,FALSE,Contained
18.154.189.167,Phishing,Low,FALSE,Contained
135.123.29.137,Malware,Low,FALSE,Contained
89.160.237.40,Malware,Critical,FALSE,Eradicated
70.111.107.54,Insider Threat,Critical,FALSE,Recovered
185.75.77.187,Ransomware,High,FALSE,Eradicated
88.136.152.112,DDoS,Medium,FALSE,Contained
199.47.83.192,Ransomware,High,FALSE,Contained
171.85.80.213,Insider Threat,Critical,FALSE,Eradicated
71.218.252.26,Phishing,Critical,TRUE,Blocked
136.157.170.171,Ransomware,High,FALSE,Recovered
202.118.212.67,Malware,Medium,FALSE,Blocked
133.130.138.135,Phishing,Critical,FALSE,Recovered
118.153.55.97,Phishing,Low,FALSE,Blocked
75.134.99.59,DDoS,High,FALSE,Contained
54.70.252.150,Malware,Low,FALSE,Contained
84.8.197.219,DDoS,Medium,FALSE,Blocked
58.162.70.0,Phishing,Low,FALSE,Recovered
213.183.149.120,Insider Threat,Medium,FALSE,Eradicated
192.118.7.152,Insider Threat,Medium,FALSE,Blocked
187.32.29.56,Insider Threat,Medium,FALSE,Contained
119.246.187.198,Ransomware,Critical,FALSE,Contained
114.14.90.119,Phishing,Low,FALSE,Eradicated
141.146.58.145,Phishing,High,FALSE,Contained
109.124.65.92,Ransomware,Medium,FALSE,Blocked
67.241.195.174,Malware,Low,FALSE,Blocked
59.131.142.43,Phishing,Critical,FALSE,Eradicated
130.209.205.7,Malware,Low,FALSE,Recovered
182.54.228.22,Phishing,High,FALSE,Eradicated
199.70.244.120,Insider Threat,Medium,FALSE,Contained
193.177.201.253,Phishing,High,FALSE,Contained
50.255.8.57,Insider Threat,High,FALSE,Blocked
89.122.135.195,Phishing,Critical,TRUE,Eradicated
203.209.166.63,DDoS,Medium,FALSE,Contained
162.88.152.39,Malware,Low,FALSE,Recovered
143.230.23.32,Insider Threat,Medium,FALSE,Recovered
169.206.243.132,Phishing,Critical,FALSE,Contained
63.189.48.211,Ransomware,High,FALSE,Eradicated
204.175.217.63,Ransomware,Medium,FALSE,Contained
175.203.216.71,Ransomware,Medium,FALSE,Recovered
142.64.21.231,Insider Threat,High,FALSE,Recovered
58.208.191.188,Phishing,High,FALSE,Contained
72.68.192.78,Phishing,Low,FALSE,Recovered
15.17.41.11,Malware,Medium,FALSE,Blocked
162.148.234.79,Insider Threat,Low,FALSE,Eradicated
112.242.105.243,Ransomware,Low,FALSE,Recovered
7.107.81.249,DDoS,Medium,FALSE,Recovered
111.20.85.214,Insider Threat,Medium,FALSE,Blocked
77.95.231.2,Phishing,Low,TRUE,Blocked
58.150.88.199,DDoS,Critical,FALSE,Recovered
106.72.140.24,Malware,Critical,FALSE,Blocked
18.181.253.68,Ransomware,Medium,FALSE,Recovered
164.233.84.240,Phishing,Critical,TRUE,Contained
35.103.97.175,Phishing,Medium,FALSE,Eradicated
179.220.244.105,Malware,Medium,FALSE,Contained
24.123.149.113,DDoS,High,FALSE,Eradicated
129.228.199.52,Insider Threat,Critical,FALSE,Blocked
96.111.201.179,Phishing,Critical,TRUE,Contained
182.210.151.75,Phishing,High,FALSE,Recovered
183.226.243.20,DDoS,Low,FALSE,Contained
113.142.48.177,Ransomware,Critical,FALSE,Contained
52.187.180.96,Insider Threat,Critical,FALSE,Blocked
149.124.179.194,Ransomware,Medium,FALSE,Blocked
138.12.205.130,Insider Threat,Medium,FALSE,Contained
74.72.120.71,Phishing,High,FALSE,Recovered
18.176.181.171,DDoS,Low,FALSE,Eradicated
217.177.102.213,Insider Threat,Low,FALSE,Contained
9.159.16.31,Insider Threat,High,TRUE,Recovered
109.149.46.13,Phishing,Critical,FALSE,Blocked
147.184.86.252,DDoS,Low,FALSE,Eradicated
220.123.9.200,DDoS,Low,FALSE,Blocked
164.208.124.144,Ransomware,Critical,FALSE,Contained
73.138.82.224,Phishing,Low,FALSE,Blocked
188.50.231.36,DDoS,Low,FALSE,Contained
66.183.120.58,DDoS,Low,FALSE,Contained
142.32.206.79,Phishing,High,FALSE,Recovered
138.171.148.45,Malware,High,FALSE,Blocked
115.124.220.132,Ransomware,High,TRUE,Blocked
222.120.128.233,Insider Threat,High,FALSE,Contained
19.129.168.95,Malware,Medium,FALSE,Eradicated
92.41.245.194,Malware,Medium,FALSE,Contained
71.152.38.61,Phishing,Low,FALSE,Recovered
59.37.202.17,Malware,Low,FALSE,Blocked
86.60.209.119,DDoS,Medium,FALSE,Recovered
162.20.178.176,Phishing,Low,FALSE,Contained
211.225.136.177,Insider Threat,Medium,FALSE,Eradicated
22.214.21.167,Ransomware,High,FALSE,Recovered
60.30.51.183,Insider Threat,Low,FALSE,Blocked
129.233.122.249,Insider Threat,Medium,FALSE,Recovered
133.166.44.113,Insider Threat,Medium,FALSE,Contained
138.238.213.219,Insider Threat,Medium,FALSE,Contained
166.97.177.99,Ransomware,High,FALSE,Blocked
24.253.101.26,DDoS,Critical,FALSE,Contained
101.217.0.10,Phishing,Critical,FALSE,Contained
91.229.74.81,Ransomware,Critical,FALSE,Eradicated
94.251.220.217,DDoS,High,TRUE,Blocked
116.115.222.64,Phishing,Low,FALSE,Blocked
135.204.73.253,Malware,Medium,FALSE,Recovered
124.231.246.56,Malware,Low,FALSE,Recovered
186.131.75.152,Phishing,High,FALSE,Recovered
185.126.179.200,Ransomware,Low,FALSE,Contained
112.62.12.196,DDoS,Low,FALSE,Contained
8.130.156.38,Malware,Medium,FALSE,Eradicated
74.181.77.26,Phishing,High,FALSE,Contained
155.87.21.147,Malware,Low,FALSE,Eradicated
183.150.68.89,Insider Threat,Medium,TRUE,Blocked
220.133.205.37,Phishing,Critical,FALSE,Blocked
82.133.14.197,DDoS,Low,FALSE,Eradicated
92.207.149.87,Malware,Low,FALSE,Contained
89.45.232.234,Insider Threat,Medium,FALSE,Contained
179.183.72.88,Insider Threat,High,FALSE,Eradicated
118.68.216.183,Phishing,Critical,FALSE,Contained
193.59.222.33,Malware,Critical,FALSE,Recovered
113.103.227.34,Malware,High,FALSE,Contained
13.119.166.117,Ransomware,Critical,FALSE,Eradicated
21.138.17.164,Malware,High,FALSE,Recovered
187.57.121.240,Ransomware,High,FALSE,Eradicated
47.226.14.235,DDoS,High,FALSE,Recovered
66.243.49.12,Insider Threat,Low,FALSE,Blocked
92.114.83.59,DDoS,High,FALSE,Blocked
103.46.27.112,DDoS,High,TRUE,Contained
197.214.64.12,Ransomware,Low,FALSE,Contained
157.245.124.133,Phishing,Medium,FALSE,Contained
122.207.28.83,Phishing,Low,FALSE,Contained
123.187.92.186,Malware,Medium,FALSE,Contained
172.111.182.219,Insider Threat,Low,TRUE,Contained
83.16.178.63,Ransomware,Medium,FALSE,Blocked
157.175.219.132,Ransomware,Medium,FALSE,Eradicated
161.76.102.194,Phishing,Low,FALSE,Contained
204.26.104.231,Malware,High,FALSE,Contained
202.81.123.37,Ransomware,High,FALSE,Contained
149.99.109.123,DDoS,Low,FALSE,Blocked
102.89.112.112,DDoS,Medium,FALSE,Contained
92.253.108.19,Ransomware,Low,TRUE,Eradicated
41.217.77.62,Malware,Medium,TRUE,Recovered
73.224.29.157,Insider Threat,Medium,FALSE,Eradicated
99.87.11.40,Ransomware,Critical,FALSE,Blocked
146.158.67.130,Insider Threat,Critical,FALSE,Contained
68.69.88.208,Insider Threat,Critical,FALSE,Eradicated
64.120.14.143,Phishing,Medium,FALSE,Contained
